latitude,longitude,recorded_at,day_of_week,day_of_week_num,is_weekend,month,hour,period,noise_class,noise_level_dba
43.239212,76.929551,2026-05-04T08:49:04+05:00,Monday,0,0,5,8,morning,alert,78.09
43.233948,76.955929,2026-02-06T23:36:32+05:00,Friday,4,0,2,23,late_evening,human,72.23
43.254074,76.948086,2026-05-04T20:55:02+05:00,Monday,0,0,5,20,evening,human,68.91
43.220443,76.93113,2026-02-04T06:49:14+05:00,Wednesday,2,0,2,6,morning,transport,62.58
43.23823,76.956742,2026-03-19T17:53:10+05:00,Thursday,3,0,3,17,evening,transport,76.57
43.265727,76.925447,2025-11-20T08:09:33+05:00,Thursday,3,0,11,8,morning,building_noise,68.88
43.218692,76.931141,2025-12-23T07:59:05+05:00,Tuesday,1,0,12,7,morning,transport,81.08
43.220222,76.925993,2025-12-03T22:36:33+05:00,Wednesday,2,0,12,22,late_evening,transport,69.25
43.26591,76.929306,2026-02-19T08:34:23+05:00,Thursday,3,0,2,8,morning,human,63.71
43.251152,76.862073,2026-01-14T18:11:13+05:00,Wednesday,2,0,1,18,evening,transport,75.54
43.262563,76.95248,2026-03-24T08:30:01+05:00,Tuesday,1,0,3,8,morning,others,50.78
43.23901,76.914597,2026-04-07T18:31:17+05:00,Tuesday,1,0,4,18,evening,transport,69.49
43.253001,76.945387,2026-03-30T16:25:15+05:00,Monday,0,0,3,16,daytime,human,64.04
43.28587,76.89691,2025-12-04T12:35:05+05:00,Thursday,3,0,12,12,daytime,building_noise,76.91
43.258641,76.946556,2025-12-27T00:46:37+05:00,Saturday,5,1,12,0,night,human,56.07
43.262087,76.928605,2025-12-12T15:20:18+05:00,Friday,4,0,12,15,daytime,animals,48.85
43.250514,76.940243,2026-04-20T22:27:21+05:00,Monday,0,0,4,22,late_evening,human,64.85
43.216235,76.925189,2026-03-17T09:18:00+05:00,Tuesday,1,0,3,9,morning,transport,78.51
43.238713,76.917499,2026-03-21T17:14:10+05:00,Saturday,5,1,3,17,evening,transport,66.08
43.258351,76.946777,2026-01-29T15:25:57+05:00,Thursday,3,0,1,15,daytime,human,60.44
43.254202,76.943865,2026-04-16T16:40:27+05:00,Thursday,3,0,4,16,daytime,human,67.81
43.34932,77.041256,2026-04-09T07:59:18+05:00,Thursday,3,0,4,7,morning,transport,70.59
43.283573,76.891153,2026-03-20T10:17:39+05:00,Friday,4,0,3,10,morning,building_noise,77.66
43.2902,76.897054,2026-01-07T20:02:33+05:00,Wednesday,2,0,1,20,evening,transport,64.34
43.277714,76.885595,2026-02-12T15:30:21+05:00,Thursday,3,0,2,15,daytime,building_noise,72.11
43.351943,77.041027,2026-02-17T05:46:01+05:00,Tuesday,1,0,2,5,night,transport,54.73
43.281089,76.893936,2026-02-12T11:07:36+05:00,Thursday,3,0,2,11,daytime,building_noise,73.7
43.34913,77.035839,2026-02-03T18:24:15+05:00,Tuesday,1,0,2,18,evening,transport,76.04
43.256012,76.970258,2025-11-11T10:07:20+05:00,Tuesday,1,0,11,10,morning,animals,47.65
43.262521,76.930534,2026-01-16T10:20:52+05:00,Friday,4,0,1,10,morning,human,63.82
43.255628,76.944409,2025-12-23T21:15:07+05:00,Tuesday,1,0,12,21,late_evening,human,66.26
43.263749,76.928353,2026-01-17T18:02:18+05:00,Saturday,5,1,1,18,evening,human,71.07
43.260345,76.953398,2026-05-06T09:03:14+05:00,Wednesday,2,0,5,9,morning,building_noise,61.0
43.239289,76.917339,2026-05-10T07:29:10+05:00,Sunday,6,1,5,7,morning,others,55.69
43.221012,76.901108,2026-03-27T18:03:58+05:00,Friday,4,0,3,18,evening,human,55.02
43.256167,76.944748,2026-05-03T02:47:10+05:00,Sunday,6,1,5,2,night,human,51.91
43.261637,76.953613,2026-02-05T21:52:37+05:00,Thursday,3,0,2,21,late_evening,building_noise,54.73
43.246734,76.939961,2026-01-02T22:22:13+05:00,Friday,4,0,1,22,late_evening,human,76.13
43.260116,76.976127,2026-03-08T07:13:28+05:00,Sunday,6,1,3,7,morning,animals,43.53
43.220925,76.900589,2026-01-27T03:27:41+05:00,Tuesday,1,0,1,3,night,others,35.0
43.23629,76.956815,2026-05-03T12:09:47+05:00,Sunday,6,1,5,12,daytime,human,62.1
43.247994,76.862158,2026-03-26T17:32:13+05:00,Thursday,3,0,3,17,evening,transport,74.8
43.256431,76.946179,2026-03-29T22:43:38+05:00,Sunday,6,1,3,22,late_evening,human,66.49
43.235311,76.920474,2026-05-01T17:21:42+05:00,Friday,4,0,5,17,evening,transport,80.32
43.259764,76.973897,2025-12-15T18:43:08+05:00,Monday,0,0,12,18,evening,human,51.47
43.264983,76.928109,2026-03-16T14:56:11+05:00,Monday,0,0,3,14,daytime,human,63.02
43.261671,76.953612,2026-02-05T21:47:37+05:00,Thursday,3,0,2,21,late_evening,building_noise,57.39
43.245975,76.942145,2025-11-29T07:12:08+05:00,Saturday,5,1,11,7,morning,human,62.69
43.235151,76.977205,2025-12-22T07:43:42+05:00,Monday,0,0,12,7,morning,others,43.76
43.247351,76.937671,2026-01-29T23:59:38+05:00,Thursday,3,0,1,23,late_evening,alert,73.53
43.23772,76.959536,2025-12-30T15:57:11+05:00,Tuesday,1,0,12,15,daytime,human,63.19
43.239635,76.928622,2025-12-06T19:59:35+05:00,Saturday,5,1,12,19,evening,alert,71.17
43.25495,76.945596,2026-04-17T13:53:45+05:00,Friday,4,0,4,13,daytime,human,60.36
43.239284,76.955065,2026-03-17T18:45:09+05:00,Tuesday,1,0,3,18,evening,transport,80.19
43.247323,76.860861,2026-01-22T01:35:48+05:00,Thursday,3,0,1,1,night,transport,52.37
43.246808,76.859582,2026-02-07T18:49:00+05:00,Saturday,5,1,2,18,evening,transport,71.37
43.235727,76.92297,2026-04-02T19:32:44+05:00,Thursday,3,0,4,19,evening,transport,78.15
43.250616,76.937955,2026-04-17T06:32:02+05:00,Friday,4,0,4,6,morning,transport,58.42
43.262406,76.953895,2026-02-06T11:30:04+05:00,Friday,4,0,2,11,daytime,transport,65.47
43.247158,76.942459,2025-11-13T17:39:50+05:00,Thursday,3,0,11,17,evening,alert,76.98
43.279512,76.896705,2026-02-18T18:36:25+05:00,Wednesday,2,0,2,18,evening,building_noise,72.88
43.283306,76.895264,2025-11-20T07:52:57+05:00,Thursday,3,0,11,7,morning,building_noise,65.61
43.28769,76.89472,2026-04-10T08:34:25+05:00,Friday,4,0,4,8,morning,building_noise,74.78
43.239396,76.932061,2026-03-21T09:55:04+05:00,Saturday,5,1,3,9,morning,alert,72.14
43.263581,76.927694,2026-04-01T16:45:43+05:00,Wednesday,2,0,4,16,daytime,human,63.98
43.239017,76.930573,2025-12-21T00:00:33+05:00,Sunday,6,1,12,0,night,transport,49.12
43.341582,76.948727,2026-04-10T16:09:45+05:00,Friday,4,0,4,16,daytime,transport,70.54
43.239708,76.929203,2025-12-06T19:54:35+05:00,Saturday,5,1,12,19,evening,alert,70.44
43.284464,76.896508,2026-01-31T14:42:18+05:00,Saturday,5,1,1,14,daytime,building_noise,84.18
43.278435,76.893322,2026-02-06T18:44:11+05:00,Friday,4,0,2,18,evening,building_noise,72.72
43.236664,76.916887,2025-12-01T10:12:03+05:00,Monday,0,0,12,10,morning,others,54.67
43.247918,76.937337,2025-12-11T19:59:17+05:00,Thursday,3,0,12,19,evening,human,68.39
43.236659,76.913266,2026-01-31T07:35:00+05:00,Saturday,5,1,1,7,morning,transport,61.29
43.27323,76.890336,2026-04-08T19:13:48+05:00,Wednesday,2,0,4,19,evening,transport,67.63
43.278411,76.894844,2026-05-04T09:15:44+05:00,Monday,0,0,5,9,morning,building_noise,75.35
43.26669,76.81976,2026-04-02T12:34:46+05:00,Thursday,3,0,4,12,daytime,others,52.5
43.258919,76.945262,2026-01-11T16:11:50+05:00,Sunday,6,1,1,16,daytime,human,56.25
43.262689,76.953999,2026-03-05T12:13:58+05:00,Thursday,3,0,3,12,daytime,human,68.43
43.278015,76.887782,2025-12-25T17:23:51+05:00,Thursday,3,0,12,17,evening,building_noise,80.37
43.236908,76.929684,2026-03-21T22:46:16+05:00,Saturday,5,1,3,22,late_evening,alert,74.6
43.265739,76.927982,2026-04-06T15:11:18+05:00,Monday,0,0,4,15,daytime,human,64.86
43.336762,76.953187,2026-01-18T09:57:30+05:00,Sunday,6,1,1,9,morning,transport,70.8
43.234156,76.918703,2025-12-27T21:26:14+05:00,Saturday,5,1,12,21,late_evening,others,52.01
43.288601,76.89158,2026-01-12T21:38:15+05:00,Monday,0,0,1,21,late_evening,transport,57.58
43.258546,76.944602,2026-01-07T21:31:30+05:00,Wednesday,2,0,1,21,late_evening,human,64.05
43.240572,76.921847,2026-02-12T11:08:23+05:00,Thursday,3,0,2,11,daytime,alert,75.29
43.23942,76.921375,2026-01-06T13:41:13+05:00,Tuesday,1,0,1,13,daytime,transport,68.99
43.250048,76.941987,2025-11-20T13:07:07+05:00,Thursday,3,0,11,13,daytime,building_noise,71.84
43.234818,76.976432,2026-03-22T16:45:40+05:00,Sunday,6,1,3,16,daytime,human,48.69
43.26064,76.944341,2025-12-28T23:45:40+05:00,Sunday,6,1,12,23,late_evening,human,69.8
43.342963,76.947717,2025-11-04T09:40:06+05:00,Tuesday,1,0,11,9,morning,transport,75.24
43.255549,76.942008,2026-02-21T17:12:29+05:00,Saturday,5,1,2,17,evening,others,63.35
43.335465,76.94344,2026-05-04T19:42:02+05:00,Monday,0,0,5,19,evening,transport,77.92
43.262637,76.927542,2025-11-18T16:31:56+05:00,Tuesday,1,0,11,16,daytime,building_noise,64.5
43.23909,76.921778,2026-02-07T20:42:03+05:00,Saturday,5,1,2,20,evening,transport,71.45
43.220912,76.927883,2026-02-18T17:47:24+05:00,Wednesday,2,0,2,17,evening,transport,77.35
43.231953,76.959218,2025-11-17T07:05:31+05:00,Monday,0,0,11,7,morning,transport,76.41
43.340724,76.949201,2026-03-31T19:16:05+05:00,Tuesday,1,0,3,19,evening,transport,79.73
43.360992,77.044107,2026-03-27T17:42:14+05:00,Friday,4,0,3,17,evening,transport,78.08
43.243574,76.860159,2026-03-26T08:09:57+05:00,Thursday,3,0,3,8,morning,alert,80.43
43.234042,76.957516,2026-04-06T11:52:32+05:00,Monday,0,0,4,11,daytime,human,59.93
43.246213,76.917689,2026-03-20T09:40:29+05:00,Friday,4,0,3,9,morning,others,66.13
43.238587,76.93204,2026-04-27T07:30:55+05:00,Monday,0,0,4,7,morning,transport,63.21
43.263349,76.824435,2026-03-10T07:10:28+05:00,Tuesday,1,0,3,7,morning,human,50.6
43.219346,76.930067,2026-04-04T16:32:45+05:00,Saturday,5,1,4,16,daytime,transport,67.35
43.238682,76.915502,2026-04-16T18:41:19+05:00,Thursday,3,0,4,18,evening,building_noise,71.0
43.2586,76.973668,2025-12-05T22:00:36+05:00,Friday,4,0,12,22,late_evening,animals,35.07
43.258787,76.968717,2026-05-02T11:38:31+05:00,Saturday,5,1,5,11,daytime,human,54.17
43.252806,76.946503,2026-02-04T08:47:38+05:00,Wednesday,2,0,2,8,morning,others,63.0
43.255896,76.949122,2026-01-20T18:01:57+05:00,Tuesday,1,0,1,18,evening,human,62.47
43.238257,76.931233,2025-12-26T08:44:52+05:00,Friday,4,0,12,8,morning,alert,73.83
43.253889,76.944676,2026-01-30T18:58:12+05:00,Friday,4,0,1,18,evening,human,71.03
43.278403,76.893436,2026-05-06T12:34:02+05:00,Wednesday,2,0,5,12,daytime,building_noise,73.35
43.222526,76.90115,2026-02-24T17:44:14+05:00,Tuesday,1,0,2,17,evening,others,57.58
43.223003,76.901827,2025-11-07T17:16:08+05:00,Friday,4,0,11,17,evening,human,59.77
43.238835,76.914512,2026-04-11T12:48:01+05:00,Saturday,5,1,4,12,daytime,building_noise,57.96
43.238489,76.917421,2026-04-17T23:01:18+05:00,Friday,4,0,4,23,late_evening,others,57.01
43.251308,76.941264,2025-11-11T15:53:58+05:00,Tuesday,1,0,11,15,daytime,transport,58.32
43.219593,76.898894,2026-03-30T10:52:24+05:00,Monday,0,0,3,10,morning,human,50.29
43.248831,76.938223,2026-05-03T12:08:32+05:00,Sunday,6,1,5,12,daytime,human,62.14
43.247935,76.864618,2026-04-20T17:12:33+05:00,Monday,0,0,4,17,evening,transport,77.46
43.279525,76.890281,2026-03-22T23:00:58+05:00,Sunday,6,1,3,23,late_evening,others,57.19
43.262403,76.969509,2026-03-12T09:16:02+05:00,Thursday,3,0,3,9,morning,others,51.36
43.24115,76.922683,2026-04-06T06:24:39+05:00,Monday,0,0,4,6,morning,transport,59.55
43.238134,76.930652,2026-01-05T21:19:54+05:00,Monday,0,0,1,21,late_evening,alert,74.2
43.219282,76.929781,2025-11-09T00:40:04+05:00,Sunday,6,1,11,0,night,transport,57.41
43.219809,76.90509,2026-04-28T08:39:46+05:00,Tuesday,1,0,4,8,morning,others,43.28
43.350581,77.037488,2026-03-05T18:43:56+05:00,Thursday,3,0,3,18,evening,transport,76.0
43.257067,76.944557,2025-11-01T21:48:03+05:00,Saturday,5,1,11,21,late_evening,human,69.12
43.356399,77.035875,2026-03-17T11:17:59+05:00,Tuesday,1,0,3,11,daytime,transport,70.69
43.234378,76.955752,2026-05-01T08:15:42+05:00,Friday,4,0,5,8,morning,transport,67.72
43.253752,76.944813,2025-12-20T20:25:31+05:00,Saturday,5,1,12,20,evening,human,72.96
43.339973,76.949257,2026-01-07T07:35:15+05:00,Wednesday,2,0,1,7,morning,transport,80.76
43.288292,76.891259,2026-01-06T18:28:06+05:00,Tuesday,1,0,1,18,evening,building_noise,78.18
43.260198,76.945501,2026-01-02T02:21:58+05:00,Friday,4,0,1,2,night,human,57.01
43.253035,76.943018,2026-03-01T13:44:49+05:00,Sunday,6,1,3,13,daytime,human,61.59
43.25799,76.947607,2026-05-01T20:07:06+05:00,Friday,4,0,5,20,evening,human,73.08
43.260484,76.973576,2026-03-31T07:34:37+05:00,Tuesday,1,0,3,7,morning,animals,39.98
43.219959,76.927683,2026-04-03T17:25:22+05:00,Friday,4,0,4,17,evening,alert,87.88
43.275593,76.89151,2026-04-03T09:14:18+05:00,Friday,4,0,4,9,morning,building_noise,76.05
43.266075,76.926307,2026-03-01T18:17:10+05:00,Sunday,6,1,3,18,evening,human,65.38
43.250547,76.944003,2026-04-10T12:45:33+05:00,Friday,4,0,4,12,daytime,human,65.09
43.262474,76.971336,2026-03-27T09:39:38+05:00,Friday,4,0,3,9,morning,animals,35.0
43.255269,76.971995,2025-11-26T08:08:03+05:00,Wednesday,2,0,11,8,morning,others,45.55
43.262982,76.954139,2026-01-18T07:04:52+05:00,Sunday,6,1,1,7,morning,others,56.54
43.256212,76.944509,2026-03-22T20:36:05+05:00,Sunday,6,1,3,20,evening,human,65.27
43.237054,76.958466,2026-05-09T00:09:44+05:00,Saturday,5,1,5,0,night,human,62.85
43.26251,76.954806,2026-01-26T17:21:24+05:00,Monday,0,0,1,17,evening,human,56.94
43.243465,76.93304,2025-11-24T08:29:40+05:00,Monday,0,0,11,8,morning,alert,67.95
43.338588,76.940887,2026-01-01T09:23:11+05:00,Thursday,3,0,1,9,morning,transport,74.04
43.239402,76.920922,2026-02-28T18:18:34+05:00,Saturday,5,1,2,18,evening,transport,74.68
43.288507,76.890348,2026-04-22T22:33:04+05:00,Wednesday,2,0,4,22,late_evening,building_noise,65.22
43.353114,77.040863,2026-05-05T09:09:35+05:00,Tuesday,1,0,5,9,morning,transport,77.57
43.248339,76.861521,2026-04-04T16:56:35+05:00,Saturday,5,1,4,16,daytime,transport,72.63
43.238542,76.920996,2026-01-27T11:08:41+05:00,Tuesday,1,0,1,11,daytime,transport,72.18
43.237263,76.926322,2026-04-02T18:56:24+05:00,Thursday,3,0,4,18,evening,transport,81.24
43.283637,76.891162,2025-12-26T17:38:57+05:00,Friday,4,0,12,17,evening,building_noise,79.51
43.257603,76.967613,2026-02-10T17:22:50+05:00,Tuesday,1,0,2,17,evening,human,56.56
43.261144,76.955477,2026-01-07T00:08:35+05:00,Wednesday,2,0,1,0,night,others,37.48
43.259258,76.967612,2025-11-08T13:48:36+05:00,Saturday,5,1,11,13,daytime,human,54.53
43.217159,76.902186,2025-11-03T17:41:49+05:00,Monday,0,0,11,17,evening,human,55.21
43.246294,76.862747,2025-12-15T18:18:21+05:00,Monday,0,0,12,18,evening,alert,85.22
43.2208,76.899443,2026-05-09T14:13:34+05:00,Saturday,5,1,5,14,daytime,human,55.29
43.245977,76.857945,2026-03-21T00:31:32+05:00,Saturday,5,1,3,0,night,transport,49.55
43.262182,76.82192,2026-03-30T08:40:17+05:00,Monday,0,0,3,8,morning,human,60.89
43.284316,76.897717,2025-11-01T15:04:15+05:00,Saturday,5,1,11,15,daytime,building_noise,72.43
43.244826,76.855582,2025-11-23T09:24:01+05:00,Sunday,6,1,11,9,morning,transport,69.88
43.24923,76.940059,2026-01-28T12:16:53+05:00,Wednesday,2,0,1,12,daytime,human,64.43
43.217428,76.927068,2026-03-27T19:20:15+05:00,Friday,4,0,3,19,evening,transport,79.46
43.257526,76.965375,2025-12-28T12:45:47+05:00,Sunday,6,1,12,12,daytime,human,54.72
43.238636,76.918163,2026-03-23T19:22:55+05:00,Monday,0,0,3,19,evening,transport,66.32
43.237505,76.92265,2026-03-13T17:39:24+05:00,Friday,4,0,3,17,evening,transport,74.56
43.239234,76.928126,2025-12-29T19:27:17+05:00,Monday,0,0,12,19,evening,alert,78.29
43.252044,76.946936,2025-12-06T08:32:14+05:00,Saturday,5,1,12,8,morning,human,62.2
43.238601,76.922598,2026-04-26T12:18:28+05:00,Sunday,6,1,4,12,daytime,transport,64.83
43.23859,76.927283,2026-04-10T18:36:28+05:00,Friday,4,0,4,18,evening,alert,77.6
43.236791,76.956727,2026-03-22T09:33:39+05:00,Sunday,6,1,3,9,morning,human,68.48
43.281859,76.896455,2026-02-06T09:50:14+05:00,Friday,4,0,2,9,morning,building_noise,73.53
43.262579,76.97091,2026-02-01T16:42:15+05:00,Sunday,6,1,2,16,daytime,human,52.83
43.261362,76.952952,2025-11-02T17:34:47+05:00,Sunday,6,1,11,17,evening,building_noise,75.87
43.264877,76.821632,2026-04-09T18:50:54+05:00,Thursday,3,0,4,18,evening,human,59.42
43.241031,76.921814,2026-04-11T10:55:25+05:00,Saturday,5,1,4,10,morning,transport,67.26
43.283858,76.894478,2026-04-29T15:35:41+05:00,Wednesday,2,0,4,15,daytime,building_noise,71.52
43.280206,76.889062,2025-12-23T14:01:41+05:00,Tuesday,1,0,12,14,daytime,building_noise,72.89
43.261862,76.969501,2025-11-03T18:27:41+05:00,Monday,0,0,11,18,evening,animals,52.13
43.215642,76.92907,2026-02-23T06:52:08+05:00,Monday,0,0,2,6,morning,transport,63.95
43.283321,76.894369,2026-02-02T10:49:24+05:00,Monday,0,0,2,10,morning,building_noise,77.69
43.262871,76.954891,2026-04-23T07:03:50+05:00,Thursday,3,0,4,7,morning,others,48.38
43.22466,76.900051,2026-01-25T22:37:31+05:00,Sunday,6,1,1,22,late_evening,others,45.7
43.232981,76.957164,2025-12-12T04:18:35+05:00,Friday,4,0,12,4,night,building_noise,54.57
43.265162,76.926417,2026-04-22T08:51:48+05:00,Wednesday,2,0,4,8,morning,human,65.81
43.284158,76.892974,2026-04-20T17:04:47+05:00,Monday,0,0,4,17,evening,building_noise,75.05
43.265875,76.954707,2026-02-16T01:43:46+05:00,Monday,0,0,2,1,night,others,42.2
43.280921,76.890812,2026-03-30T14:19:59+05:00,Monday,0,0,3,14,daytime,building_noise,66.82
43.264621,76.822547,2026-05-10T20:57:30+05:00,Sunday,6,1,5,20,evening,human,64.9
43.223109,76.900505,2025-11-11T17:44:08+05:00,Tuesday,1,0,11,17,evening,animals,51.29
43.263535,76.953124,2026-02-14T22:33:15+05:00,Saturday,5,1,2,22,late_evening,transport,56.27
43.26052,76.952788,2026-03-13T12:34:54+05:00,Friday,4,0,3,12,daytime,building_noise,69.51
43.219178,76.899519,2025-12-28T20:41:37+05:00,Sunday,6,1,12,20,evening,others,46.84
43.220568,76.928036,2026-01-22T19:38:58+05:00,Thursday,3,0,1,19,evening,transport,80.49
43.235464,76.920338,2026-01-30T09:16:33+05:00,Friday,4,0,1,9,morning,transport,76.67
43.255521,76.943528,2026-01-09T20:23:00+05:00,Friday,4,0,1,20,evening,human,77.94
43.253195,76.944728,2025-12-14T03:09:44+05:00,Sunday,6,1,12,3,night,human,51.46
43.35188,77.03573,2026-03-16T18:04:11+05:00,Monday,0,0,3,18,evening,transport,76.87
43.215524,76.923183,2025-12-04T18:50:36+05:00,Thursday,3,0,12,18,evening,others,76.86
43.237306,76.958886,2026-02-13T19:16:33+05:00,Friday,4,0,2,19,evening,transport,75.67
43.23642,76.921329,2025-12-09T18:33:50+05:00,Tuesday,1,0,12,18,evening,transport,76.98
43.26412,76.927383,2026-04-04T16:56:57+05:00,Saturday,5,1,4,16,daytime,human,63.84
43.263718,76.957179,2026-01-16T14:33:12+05:00,Friday,4,0,1,14,daytime,human,61.86
43.259775,76.966504,2025-12-09T07:29:40+05:00,Tuesday,1,0,12,7,morning,others,49.03
43.238436,76.929927,2025-12-17T20:00:24+05:00,Wednesday,2,0,12,20,evening,alert,70.33
43.23798,76.916211,2025-12-07T19:14:35+05:00,Sunday,6,1,12,19,evening,building_noise,63.31
43.221709,76.926503,2025-12-17T17:49:19+05:00,Wednesday,2,0,12,17,evening,transport,80.45
43.264672,76.819911,2026-01-16T20:09:35+05:00,Friday,4,0,1,20,evening,human,62.73
43.351489,77.040054,2025-12-22T16:01:01+05:00,Monday,0,0,12,16,daytime,transport,68.5
43.251684,76.941273,2026-01-18T08:05:22+05:00,Sunday,6,1,1,8,morning,human,65.4
43.259095,76.970373,2025-11-28T18:16:08+05:00,Friday,4,0,11,18,evening,human,55.46
43.260132,76.970417,2025-11-30T06:43:00+05:00,Sunday,6,1,11,6,morning,others,36.51
43.237918,76.91627,2026-02-12T12:08:48+05:00,Thursday,3,0,2,12,daytime,transport,61.96
43.237692,76.93012,2026-03-07T21:27:16+05:00,Saturday,5,1,3,21,late_evening,transport,65.28
43.238422,76.92885,2025-11-03T16:39:21+05:00,Monday,0,0,11,16,daytime,transport,58.48
43.283248,76.889571,2026-03-30T11:46:08+05:00,Monday,0,0,3,11,daytime,building_noise,72.39
43.259752,76.947332,2025-11-18T23:40:22+05:00,Tuesday,1,0,11,23,late_evening,human,62.96
43.258396,76.972875,2025-12-21T20:40:40+05:00,Sunday,6,1,12,20,evening,animals,40.24
43.259432,76.970742,2025-11-20T08:43:37+05:00,Thursday,3,0,11,8,morning,others,46.08
43.237041,76.917265,2026-05-02T20:48:16+05:00,Saturday,5,1,5,20,evening,transport,59.26
43.250054,76.941161,2026-03-14T15:03:13+05:00,Saturday,5,1,3,15,daytime,building_noise,63.25
43.235725,76.917671,2025-11-29T00:18:41+05:00,Saturday,5,1,11,0,night,transport,47.22
43.262152,76.971781,2026-03-27T09:45:38+05:00,Friday,4,0,3,9,morning,animals,35.0
43.237239,76.923087,2026-02-03T16:16:51+05:00,Tuesday,1,0,2,16,daytime,transport,67.83
43.280434,76.893719,2025-12-11T21:00:34+05:00,Thursday,3,0,12,21,late_evening,transport,60.6
43.253081,76.942463,2025-12-25T21:53:29+05:00,Thursday,3,0,12,21,late_evening,transport,66.34
43.256973,76.949469,2025-11-30T09:52:20+05:00,Sunday,6,1,11,9,morning,others,63.35
43.248888,76.85978,2026-01-29T17:35:56+05:00,Thursday,3,0,1,17,evening,alert,84.59
43.263408,76.955529,2026-02-01T19:26:09+05:00,Sunday,6,1,2,19,evening,human,71.89
43.221642,76.900598,2026-02-18T12:52:06+05:00,Wednesday,2,0,2,12,daytime,human,59.08
43.342819,76.949811,2026-02-22T08:01:58+05:00,Sunday,6,1,2,8,morning,transport,72.8
43.287169,76.897453,2025-12-22T12:51:56+05:00,Monday,0,0,12,12,daytime,building_noise,73.07
43.219457,76.929676,2026-04-18T15:15:58+05:00,Saturday,5,1,4,15,daytime,transport,73.83
43.241748,76.919163,2026-03-16T20:02:52+05:00,Monday,0,0,3,20,evening,transport,70.17
43.258729,76.948094,2026-01-24T14:40:31+05:00,Saturday,5,1,1,14,daytime,human,61.84
43.221706,76.929853,2026-03-29T14:11:56+05:00,Sunday,6,1,3,14,daytime,transport,64.84
43.237481,76.931442,2025-12-20T17:20:15+05:00,Saturday,5,1,12,17,evening,alert,66.64
43.239247,76.930483,2026-05-05T07:58:48+05:00,Tuesday,1,0,5,7,morning,alert,72.02
43.247415,76.861694,2026-05-01T18:53:09+05:00,Friday,4,0,5,18,evening,alert,89.13
43.260326,76.944855,2026-01-22T11:16:20+05:00,Thursday,3,0,1,11,daytime,human,56.61
43.24094,76.932198,2026-03-26T12:25:56+05:00,Thursday,3,0,3,12,daytime,transport,63.65
